datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
4/3/2018,5.9,3.9,4.9,4.4,1,2.5,85.7,0.662,100,33.33,0,20.1,262,13,2,4/3/2018 6:36:13 AM,4/3/2018 7:22:57 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
4/4/2018,13.3,5.6,8.8,13.3,2.9,7.5,75.3,1.001,100,25,0,37.9,229,10.5,3,4/4/2018 6:34:35 AM,4/4/2018 7:24:00 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
4/5/2018,7.8,1.7,4.9,4.4,-0.7,2,39.4,1.177,100,8.33,0,23.7,247.9,16,9,4/5/2018 6:32:58 AM,4/5/2018 7:25:03 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
4/6/2018,15.7,3.4,8.1,15.7,-0.4,6.6,56.8,1.32,100,20.83,0,27.7,72.3,16,6,4/6/2018 6:31:21 AM,4/6/2018 7:26:06 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
4/7/2018,11.7,4.9,7.4,11.7,2.4,5.8,45.2,0.232,100,4.17,0,18.2,239.7,16,7,4/7/2018 6:29:45 AM,4/7/2018 7:27:09 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
4/8/2018,8.3,1.6,4.5,6.9,-2.9,2.2,42.8,0,0,0,0,18.3,251.5,16,8,4/8/2018 6:28:09 AM,4/8/2018 7:28:11 PM,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
4/9/2018,9.9,0.6,4.2,8.4,-3.2,1.9,47.5,0.431,100,4.17,0,20,252.5,16,9,4/9/2018 6:26:34 AM,4/9/2018 7:29:14 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
4/10/2018,11.1,3.9,6.4,11.1,0.8,4.5,59.9,0.014,100,4.17,0,18.4,272.2,15.9,6,4/10/2018 6:24:59 AM,4/10/2018 7:30:17 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
4/11/2018,10.5,3.5,6.9,10.5,2,5.5,51.6,1.644,100,8.33,0,14.7,302.6,15.9,9,4/11/2018 6:23:24 AM,4/11/2018 7:31:20 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
4/12/2018,15.7,6.8,10.5,15.7,4.3,9.9,59.2,0.931,100,8.33,0,13,270.1,16,7,4/12/2018 6:21:50 AM,4/12/2018 7:32:23 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
4/13/2018,26.7,13.9,19,26.2,13.9,18.9,46.4,2.353,100,12.5,0,22.3,269.3,16,8,4/13/2018 6:20:17 AM,4/13/2018 7:33:25 PM,Rain,Clear conditions throughout the day with rain.,rain
4/14/2018,23.4,9.3,17.8,23.4,5.1,17.6,58.6,0,0,0,0,39.5,42.6,16,9,4/14/2018 6:18:45 AM,4/14/2018 7:34:28 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
4/15/2018,8.8,4.3,5.9,5.3,-1,1.4,76.3,3.407,100,20.83,0,33.7,48.8,14.7,2,4/15/2018 6:17:13 AM,4/15/2018 7:35:31 PM,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
4/16/2018,13.9,4.3,9.1,13.9,-1,6.4,84.9,66.126,100,70.83,0,43.8,22.3,11.9,7,4/16/2018 6:15:41 AM,4/16/2018 7:36:34 PM,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
4/17/2018,8.3,5.6,6.8,7,1.5,3.5,60.5,1.64,100,16.67,0,21.3,246.8,15.9,4,4/17/2018 6:14:11 AM,4/17/2018 7:37:37 PM,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
